Year,Psi_1_Standardized,Psi_2_Standardized,Raw_Component_1,Raw_Component_2,Raw_Component_3,Raw_Component_4
1966,-1.2570589189136638,-0.5704500064567042,-0.14566099480488875,-0.06477332997837466,-0.05119566681010425,-0.01478387949054493
1967,-1.2350236773151884,-1.4545289718214192,-0.14313358919137997,-0.1661824601490776,-0.027433618746731916,-0.008763320040366339
1968,-1.0129169375810723,-1.6694557132430368,-0.11765831503595732,-0.19083583926097442,0.02230727440065974,0.03790049060579444
1969,-0.7009463770818104,-1.6653116159842298,-0.08187580989156794,-0.1903604865890725,-0.029902256375740656,0.006933035975197993
1970,-0.5400893471149114,-1.5225458019766245,-0.06342577571818196,-0.17398439623536635,-0.08051757282666454,-0.08568026781707615
1971,-0.7566657506136255,-1.0796040476606652,-0.08826672949261487,-0.12317633521229229,-0.058855774695298,-0.14464253291191054
1972,-1.1547312890565549,0.0758770837994301,-0.13392418561393357,0.009364242112368268,-0.0033410500898525546,-0.10240456544586608
1973,-1.7387935839853732,0.9931236554741869,-0.20091516078636096,0.11457789454580605,-0.0019409016124847462,0.021699132112997743
1974,-1.77770704021085,0.5532522787700286,-0.20537846958494033,0.06412202414721978,0.0028207897392792344,0.024932294787955136
1975,-1.5783975618592068,0.6855604032945588,-0.18251800344662947,0.07929855514523369,-0.0014940521393289993,0.04121049250961773
1976,-1.4839253868012945,0.6181612987114942,-0.17168220187419425,0.071567475866322,0.02895919461492586,0.05509509298446916
1977,-1.1825332506262798,-0.05160172511706487,-0.13711302443032936,-0.005258337582292753,0.13891741666365162,-0.0042213047428383025
1978,-0.40973893311722126,-1.2702143878491632,-0.04847479972871301,-0.14504047807433085,0.21506059851684478,-0.01398308968750025
1979,-0.43256392225627976,-1.2751533713548024,-0.05109278807345276,-0.1456070089396226,0.18787700631644014,-0.0030509441260826637
1980,0.3982946651471657,-0.9942374738089517,0.04420531194741196,-0.11338428004628794,0.040525209818017556,0.03177993266648783
1981,-0.24629425648286413,-1.5842655027777583,-0.029727966780333636,-0.1810640140272646,0.019343470343296365,-0.07768149586912294
